_key,Family,BodyStyle,Fuel,BaseMSRP,FuelEfficiency,DriveTrain,Engine,HorsePower,BodyColor,InteriorLeather,InteriorTrim,IntHP,IntFuelEfficiency,IntBaseMSRP,IntOptionsMSRP,IntTotalMSRP,BodyTop
230i Convertible,2Series,Convertible,Gasoline,Under 40K,,RearWheel,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine Rear wheel drive",200-350HP,,,,248,,38950,0,0,SoftTop
M240i Convertible,2Series,Convertible,Gasoline,40K - 60K,,RearWheel,"3.0-liter BMW M Performance TwinPower Turbo inline 6-cylinder, 24-valve 335-hp engine Rear Wheel Drive",200-350HP,,,,248,,49050,0,0,SoftTop
230i Coupe,2Series,Coupe,Gasoline,Under 40k,,RearWheel,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine",200-350HP,,,,248,,33150,0,0,HardTop
M240i Coupe,2Series,Coupe,Gasoline,40K - 60K,,RearWheel,"3.0-liter BMW M Performance TwinPower Turbo inline 6-cylinder, 24-valve 335-hp engine Rear wheel drive",200-350HP,,,,335,,44450,0,0,HardTop
230i xDrive Convertible,2Series,Convertible,Gasoline,40K - 60K,,xDrive,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine xDrive",200-350HP,,,,248,,40950,0,0,SoftTop
M240i xDrive Convertible,2Series,Convertible,Gasoline,40K - 60K,,xDrive,"3.0-liter BMW M Performance TwinPower Turbo inline 6-cylinder, 24-valve 335-hp engine xDrive",200-350HP,,,,335,,51050,0,0,SoftTop
230i xDrive Coupe,2Series,Coupe,Gasoline,Under 40k,,xDrive,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine",200-350HP,,,,248,,36145,0,0,HardTop
M240i xDrive Coupe,2Series,Coupe,Gasoline,40K - 60K,,xDrive,"3.0-liter BMW M Performance TwinPower Turbo inline 6-cylinder, 24-valve 335-hp engine RxDrive",200-350HP,,,,335,,46450,0,0,HardTop
330i Sedan,3Series,Sedan,Gasoline,40K - 60K,,RearWheel,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine Rear Wheel Drive",200-350HP,,,,248,,38750,0,0,HardTop
328d Sedan,3Series,Sedan,Diesel,40K - 60K,,RearWheel,"2.0-liter, Turbo Diesel dual inline 4-cylinder, 16-valve 180-hp engine Rear Wheel Drive",200-350HP,,,,248,,40250,0,0,HardTop
340i Sedan,3Series,Sedan,Electric,40K - 60K,,RearWheel,"3.0-liter BMW TwinPower Turbo inline 6-cylinder, 24-valve, 320-hp engine Rear Wheel Drive",200-350HP,,,,320,,48895,0,0,HardTop
320i Sedan,3Series,Sedan,Gasoline,Under 40k,,RearWheel,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 180-hp engine Rear Wheel Drive",Under 200HP,,,,180,,33450,0,0,HardTop
330e iPerformance,3Series,Sedan,iPerformance,40K - 60K,,RearWheel,"2.0-liter, Turbo Diesel dual inline 4-cylinder, 16-valve 180-hp engine Rear Wheel Drive",Under 200HP,,,,180,,44150,0,0,HardTop
330i xDrive Gran Turismo,3Series,Gran Turismo,Gasoline,40K - 60K,,xDrive,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine xDrive",200-350HP,,,,248,,44700,0,0,HardTop
340i xDrive Gran Turismo,3Series,Gran Turismo,Gasoline,40K - 60K,,xDrive,"3.0-liter BMW TwinPower Turbo inline 6-cylinder, 24-valve 320-hp engine engine xDrive",200-350HP,,,,320,,50550,0,0,HardTop
330i xDrive Sedan,3Series,Sedan,Gasoline,40K - 60K,,xDrive,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine xDrive",200-350HP,,,,248,,40750,0,0,HardTop
340i xDrive Sedan,3Series,Sedan,Gasoline,40K - 60K,,xDrive,"3.0-liter BMW TwinPower Turbo inline 6-cylinder, 24-valve, 320-hp engine xDrive",200-350HP,,,,320,,49900,0,0,HardTop
320i xDrive Sedan,3Series,Sedan,Gasoline,Under 40k,,xDrive,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 180-hp engine xDrive",Under 200HP,,,,180,,35450,0,0,HardTop
328d xDrive Sedan,3Series,Sedan,Diesel,40K - 60K,,xDrive,"2.0-liter, Turbo Diesel dual inline 4-cylinder, 16-valve 180-hp engine Rear Wheel Drive",Under 200HP,,,,180,,42250,0,0,HardTop
330i xDrive Sports Wagon,3Series,Sports Wagon,Gasoline,40K - 60K,,xDrive,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine xDrive",200-350HP,,,,248,,42950,0,0,HardTop
328d xDrive Sports Wagon,3Series,Sports Wagon,Diesel,40K - 60K,,xDrive,"2.0-liter, Turbo Diesel dual inline 4-cylinder, 16-valve 180-hp engine Rear Wheel Drive",Under 200HP,,,,180,,44450,0,0,HardTop
430i Convertible,4Series,Convertible,Gasoline,40K - 60K,,RearWheel,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine Rear Wheel Drive",200-350HP,,,,248,,50300,0,0,HardTop
440i Convertible,4Series,Convertible,Gasoline,40K - 60K,,RearWheel,"3.0-liter BMW TwinPower Turbo inline 6-cylinder, 24-valve 320-hp engine Rear Wheel Drive",200-350HP,,,,320,,57300,0,0,HardTop
430i Coupe,4Series,Coupe,Gasoline,40K - 60K,,RearWheel,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 248-hp engine Rear Wheel Drive",200-350HP,,,,248,,42150,0,0,HardTop
