_key,EntityWithIntent,Entity,Action,PrefixPhrase,ActionCategory,QtyRequired,SubCategory,Cost,NeedBooking,ResponseMsgOrig,Intent
AC not cooling,AC not cooling,AC,Service,,Need Service,,Room Facility,,,,AC not cooling 
AC not working,AC not working,AC,Service,It seems,Need Service,,Room Facility,,,,AC not working
AC smelling bad,AC smelling bad,AC,Service,It seems,Need Service,,Room Facility,,,,AC Not cooling 
Air Conditioner,Air Conditioner,AC,Service,,Need Service,,Room Facility,,,,AC not cooling 
Bad smell,Bad smell,Room,Service,,Need Service,,Room Facility,,,,AC not cooling 
Bathroom cleaning,Bathroom cleaning,Bathroom,Service,Can you / Please,Need Service,,Room Facility,,,,clean the bathroom
bathtub Drainage not working,Drainage bathtub not working,bathtub Drainage,Service,Please check / send someone,Need Service,,Room Service,,,,water drainage problem in bathtub
Bed damaged,Furniture bed damaged,Furniture bed,Service,Please check / send someone,Need Service,,Room Facility,,,,problem with bed in my room
Bed linen,Bed linen,Bed linen,Service,Can you / Please,Need Service,,Room Facility,,,,change the Bed Linen ?
Bed sheet,Bed sheet,Bed sheet,Service,Can you / Please,Need Service,,Room Facility,,,,change the Bed Linen ?
bidet Drainage not working,Drainage bidet not working,bidet Drainage,Service,Please check / send someone,Need Service,,Room Service,,,,water drainage problem in bidet
Blinds,Blinds,Blinds,Service,Plese check / send someone,Need Service,,Room Facility,,,,window blinds not closing
Breakfast,Breakfast order,Breakfast,Order,Can you / Please,Need Service,,Room Service,,,Someone will call you to take your breakfast order,send somebody to take my breakfast order
Bulb fused,Bulb fused,Bulb,Service,Plese check / send someone,Need Service,,Room Facility,,,,Bulb is not working / Bulb seems to be fused
car at Hotel Door,Get my car at Hotel Door, car at Hotel Door,Book,Can you / Please,Need Service,,Concierge,,,Car will be ready for you,Valet Service
Car from Valet Parking,Get my car at Hotel Door,Car from Valet Parking,Book,Can you / Please,Need Service,,Concierge,,,Car will be ready for you,Valet Service
Car Rental,Car Rental,Car Rental,Book,Can you,Need Service,,Concierge,Charge,Booking,,Car Wash
Car Wash,Get a Car Wash,Car Wash,Book,Can you,Need Service,,Outside Service,Charge,Booking,,Car Wash
Car Washed,Get a Car Wash,Car Wash,Book,Can you,Need Service,,Outside Service,Charge,Booking,,Car Wash
CD player rental,CD player rental,CD player rental,Book,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,CD / DVD player on rental
Chair damaged,Furniture chair damaged,Chair,Service,Please check / send someone,Need Service,,Room Facility,,,,problem with chair in my room
