_key,EntityWithIntent,Entity,Action,PrefixPhrase,ActionCategory,QtyRequired,SubCategory,Cost,NeedBooking,ResponseMsgOrig,Intent
Air-freshener,Air-freshener,Air-freshener,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Air freshner
Alarm Clock,Alarm Clock,Alarm Clock,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Alarm Clock
Ashtray,Ashtray,Ashtray,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Ashtray
Ash tray,Ash tray,Ash tray,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Ashtray
Baby bath,Baby bath,Baby bath,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Baby bath
Baby bottle,Baby bottle,Baby bottle,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Baby bottle
Baby chair,Baby chair,Baby chair,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Baby Chair
Baby crib,Baby crib,Baby crib,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Baby crib
Baby diaper,Baby diaper,Baby diaper,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,Charge,,,Baby diaper
Baby slippers,Baby slippers,Baby slippers,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Baby slippers
Bath mat,Bath mat,Bath mat,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Bath Mat
Bath oil,Bath oil,Bath oil,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Bath Oil
Bath salts,Bath salts,Bath salts,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Bath Salts
Baby blanket,Baby blanket,Baby blanket,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Baby bath
Baby bath shampoo,Baby bath shampoo,Baby bath shampoo,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Baby bath
Bathrobe adult,Bathrobe adult,Bathrobe adult,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Large Bathrobe
Bathrobe child,Bathrobe child,Bathrobe child,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Small Bathrobe
Bible,Bible,Bible,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Bible
Blackberry Mobile Charger,Blackberry Mobile Charger,Blackberry Mobile Charger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Blackberry Mobile Charger
Bottle opener,Bottle opener,Bottle opener,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,a bottle Opener
Can opener,Can opener,Can opener,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,a Can Opener
City Map,City Map,City Map,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,City Map
Clothes brush,Clothes brush,Clothes brush,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Clothes brush
Crockery bowl,Crockery bowl,Crockery bowl,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Crockery bowl
Crutches,Crutches,Crutches,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Crutches / waking crutches
Earphone refill,Earphone refill,Earphone refill,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,earphone
English Newspaper,English Newspaper,English Newspaper,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,English Newspaper
Extension Cord,Extension Cord,Extension Cord,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Extension Chord
Extra bed,Extra bed,Extra bed,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Extra bed
Feather Pillow,Feather Pillow,Feather Pillow,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Father Pillow
First aid kit,First aid kit,First aid kit,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,First aid kit 
First-Aid box,First-Aid box refill,First-Aid box refill,Request,Can you / Please,Need Supply,,Consumable,,,,refill my first - aid box?
Foam Pillow,Foam Pillow,Foam Pillow,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Foam Pillow
Ice Cubes,Ice Cubes,Ice Cubes,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Ice Cubes
iPad Mobile Charger,iPad Mobile Charger,iPad Mobile Charger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,iPad / Mac Mobile Charger
iPhone Mobile Charger,iPhone Mobile Charger,iPhone Mobile Charger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,iPhone Mobile Charger
Laptop Mobile Charger,Laptop Mobile Charger,Laptop Mobile Charger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Laptop Mobile Charger
Laundry list,Laundry list,Laundry list,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need supply,,Hotel Facilities,,,,Laundry list
Local Newspaper,Local Newspaper,Local Newspaper,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Local Newspaper
Luggage rack,Luggage rack,Luggage rack,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,luggage rack
Mac Mobile Charger,Mac Mobile Charger,Mac Mobile Charger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,iPad / Mac Mobile Charger
Magazine,Magazine,Magazine,Request,,Need Supply,,Consumable,,,,Can you send some magazines at room?
Monitor,Monitor,Monitor,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Monitor
Mouse,Mouse,Mouse,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Mouse
Network Cable,Network Cable,Network Cable,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,A network cable
Nokia Mobile Charger,Nokia Mobile Charger,Nokia Mobile Charger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Nokia Mobile Charger
Picnic Basket,Picnic Basket,Picnic Basket,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Picnic Basket
Prayer mat,Prayer mat,Prayer mat,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Prayer mat
Printing Stationery,Printing Stationery,Printing Stationery,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Printing Stationery
Quoran,Quoran,Quoran,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Quoran
Samsung Mobile Charger,Samsung Mobile Charger,Samsung Mobile Charger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Samsung Mobile Charger
Scissors,Scissors,Scissors,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Scissors
Sewing Kit,Sewing Kit,Sewing Kit,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Sewing Kit
Special Pillow,Special Pillow,Special Pillow,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Special Pillow
Thermometer,Thermometer,Thermometer,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Thermometer
Wheelchair,Wheelchair,Wheelchair,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,Wheel Chair
Wrapping paper,Wrapping paper,Wrapping paper,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Consumable,,,,Wrapping Paper
Waste basket,Waste basket,Waste basket,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Room Facility,,,,Waste basket
Weight scale,Weight scale,Weight scale,Request,Please check,Need Supply,,Room Facility,,,,Can you change the weight scale?
