_key,EntityWithIntent,Entity,Action,PrefixPhrase,ActionCategory,QtyRequired,SubCategory,Cost,NeedBooking,ResponseMsgOrig,Intent
AA Batteries,AA Batteries,AA Batteries,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Consumable,Charge,,,AA Batteries
AAA Batteries,AAA Batteries,AAA Batteries,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Consumable,Charge,,,AAA Batteries
Baby bathrobe,Baby bathrobe,Baby bathrobe,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,{number} Baby Bathrobe
Blanket,Blanket,Blanket,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,{number} blankets
Body lotion,Body lotion,Body lotion,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Body lotion
Champagne Glass,Champagne Glass,Champagne Glass,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,Champagne Glass
Coffee capsules,Coffee capsules,Coffee capsules,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Consumable,,,,Coffee capsules / coffee sachets
Condoms,Condoms,Condoms,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,Charge,,,Packet of Condom
Cotton buds,Cotton buds,Cotton buds,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Cotton buds
Cotton pads,Cotton pads,Cotton pads,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Cotton pads
coffee spoon,Cultlery coffee spoon, coffee spoon,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,coffee spoon
Dental Kit,Dental Kit,Dental Kit,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Dental Kit
Deodorant,Deodorant,Deodorant,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,room freshner / deoderant
Espresso Cup,Espresso Cup,Espresso Cup,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,espresso cup
Foam Cup,Foam Cup,Foam Cup,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,espresso cup
fork,fork,fork,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,fork
Hair Conditioner,Hair Conditioner,Hair Conditioner,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Hair Conditioner
Hair gel,Hair gel,Hair gel,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,some Hair Gel
Hair spray,Hair spray,Hair spray,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,some Hair spray
Hangar Clip,Hangar Clip,Hangar Clip,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,Hangar Clip
Jacket Hanger,Jacket Hanger,Jacket Hanger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,Jacket Hanger
Kimono,Kimono,Kimono,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,kimono
knife,knife,knife,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,knife
Laundry bag,Laundry bag,Laundry bag,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Laundry Bag
Matches,Matches,Matches,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Match box / matches
Mouth Wash,Mouth Wash,Mouth Wash,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Mouth Wash
Nail clipper,Nail clipper,Nail clipper,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Nail clipper
Nail file,Nail file,Nail file,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Nail file 
Nail polish remover,Nail polish remover,Nail polish remover,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Nail polish remover
Napkin,Napkin,Napkin,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Napkin
Note Pad,Note Pad,Note Pad,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Note Pad
Paper Cup,Paper Cup,Paper Cup,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,espresso cup
Paper Towel,Paper Towel,Paper Towel,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Paper Towel
Pen,Pen,Pen,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Pen
Pencil,Pencil,Pencil,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Pencil
Pencil Sharpner,Pencil Sharpner,Pencil Sharpner,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Pencil Sharpner
Razor Blades,Razor Blades,Razor Blades,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Razor Blades
Red wine Glass,Red wine Glass,Red wine Glass,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,Red wine Glass
Sanitary bags,Sanitary bags,Sanitary bags,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Sanitary bags
Sanitary pads,Sanitary pads,Sanitary pads,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Sanitary pads
Satin Hanger,satin Hanger,satin Hanger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,satin Hanger
Shampoo,Shampoo,Shampoo,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Shampoo
Shaving Kit,Shaving Kit,Shaving Kit,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Shaving Kit
Shopping bags,Shopping bags ,Shopping bags ,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Shopping bags 
Shower cap,Shower cap,Shower cap,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Shower cap
Shower gel,Shower gel,Shower gel,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Shower gel
